,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
Seg_size,8709,6157,2379,173,5246,91,887,2485,734,5176,309,2456,34,1771,5118,193,25,1078,524,568,26,113,563,484,4923,2032,375,462,25,4906,1000,338,1515,88,988,4904,22,53,426,348,1461,220,287
Seg_PCT,1,0.706969801,0.273165691,0.019864508,0.602365369,0.010448961,0.101848662,0.285337008,0.084280629,0.594327707,0.035480537,0.282007119,0.003904007,0.203352853,0.58766793,0.022160983,0.002870594,0.123779998,0.060167643,0.065219887,0.002985417,0.012975083,0.064645769,0.055574693,0.565277299,0.233321851,0.043058905,0.05304857,0.002870594,0.563325296,0.114823746,0.038810426,0.173957975,0.01010449,0.113445861,0.563095648,0.002526122,0.006085659,0.048914916,0.039958663,0.167757492,0.025261224,0.032954415
BALANCE,1587.84297,873.5596886,3194.88674,4909.72178,801.1513074,4873.043447,5323.743403,1794.799724,5358.5711,789.4627947,3961.073417,1793.43417,5306.700128,919.6188066,801.3682023,4389.664155,5989.391103,3949.566197,5427.29912,1896.186388,5836.138232,5147.39565,6913.002331,1648.808607,778.1269571,1721.128231,2130.948157,1754.587038,5989.391103,781.1068241,3844.511289,8089.263117,804.0184848,5002.097399,3896.71118,779.2866148,5604.719229,5126.35154,1421.049403,1921.195722,745.7361117,4479.784256,8407.44116
BALANCE_FREQUENCY,0.888667698,0.86837957,0.939686012,0.909138457,0.86593145,0.856234231,0.960565239,0.912189907,0.956283992,0.86524489,0.918943385,0.914253341,0.871390353,0.885170468,0.867196023,0.897806907,0.95963636,0.959549357,0.95763167,0.907536345,0.961188808,0.885611805,0.984594107,0.899359537,0.86591088,0.908644458,0.917100568,0.900588385,0.95963636,0.866354383,0.967384245,0.98912797,0.875814357,0.86964408,0.970010737,0.866125469,0.954132227,0.808216925,0.890373488,0.915491149,0.873371057,0.951363991,0.99841622
ONEOFF_PURCHASES,601.0226513,324.848967,965.4384994,5418.687803,259.2696683,7324.925714,1237.614408,849.0323421,1134.806267,257.992956,1804.488738,801.2329112,15899.17294,997.5344043,264.9051817,2018.065285,20749.7792,378.1012894,1519.205821,2322.982236,20451.98269,1045.429469,694.9837655,1371.343017,236.1916677,515.3493209,3156.005893,1275.088615,20749.7792,244.1135202,325.59697,850.6932544,702.9310033,764.4994318,336.7893016,242.6249123,22779.18909,1305.446792,1156.599343,3614.001839,672.1647844,400.9761818,1117.643066
INSTALLMENTS_PURCHASES,418.8523309,303.4092951,585.1520639,2240.561619,270.5817156,2769.445055,748.726956,528.0374085,730.3826975,270.6600058,1077.411392,504.3775285,4090.486176,615.0955844,274.1531751,1243.414249,5064.0236,289.5634787,909.552958,1012.268398,5166.956154,1380.835398,466.8281705,773.6943802,265.4940443,412.4614764,1413.27696,734.974697,5064.0236,267.3622442,245.89475,642.488432,543.9544951,600.24,256.5450202,266.0320861,5463.24,973.265283,704.3785915,1576.560862,530.2114511,269.6821818,819.6700697
CASH_ADVANCE,986.117889,494.0066944,1840.342578,6753.332289,461.0504808,7706.664629,3405.864642,984.7571245,2399.667682,455.7804838,6125.086652,973.3079043,5427.318935,195.0270527,421.2510189,7654.03439,1567.812699,3330.156462,1871.016124,1813.329588,1507.51221,10186.14077,4255.301988,334.2920707,429.9671827,833.4839778,1528.31627,381.0871376,1567.812699,417.6887829,2919.621231,4541.132064,162.2950811,11933.43675,2609.415841,424.2283876,1014.206401,12521.46551,374.4350107,705.9630778,155.0720809,7738.024005,3169.064673
PURCHASES_FREQUENCY,0.496080299,0.475533929,0.542030488,0.595435763,0.46059864,0.62977022,0.508810347,0.561544863,0.539375699,0.461156184,0.488311783,0.553771231,0.7813725,0.648525852,0.46336148,0.477657953,0.91266664,0.33609071,0.616468597,0.64111035,0.916025615,0.399877389,0.394229259,0.685566258,0.457718659,0.531543175,0.725613277,0.680766379,0.91266664,0.459527906,0.325849149,0.42413782,0.632077493,0.337256466,0.33215215,0.458988018,0.900757545,0.458976528,0.67513616,0.792972842,0.632059076,0.292678859,0.50796907
ONEOFF_PURCHASES_FREQUENCY,0.204549497,0.154872368,0.31592128,0.441015445,0.132839448,0.477441615,0.302088751,0.311125116,0.325540075,0.131898973,0.301265175,0.302846824,0.673039235,0.365371126,0.134799044,0.313442891,0.79866672,0.149934914,0.386177124,0.445340396,0.806410308,0.22415046,0.205711163,0.442551471,0.127586806,0.25789981,0.520346309,0.437451273,0.79866672,0.129295605,0.148158415,0.221951734,0.323200515,0.193993477,0.153487131,0.129113833,0.843181864,0.279506642,0.426083514,0.591736325,0.319486649,0.130680964,0.279730202
PURCHASES_INSTALLMENTS_FREQUENCY,0.369531946,0.36031408,0.385552029,0.477292757,0.35565257,0.509635626,0.373178078,0.392400215,0.384960068,0.356740385,0.377589356,0.387240643,0.6313725,0.456075414,0.357083802,0.370751197,0.73199996,0.237230308,0.453053452,0.474998989,0.742307654,0.32621731,0.286518146,0.463604622,0.354517518,0.374659272,0.545532472,0.459831634,0.73199996,0.355722192,0.222342428,0.322805,0.450902537,0.263589648,0.227478228,0.355000627,0.6954545,0.374091358,0.455875162,0.599682172,0.450306399,0.196805709,0.395011122
